"name"                  ,"registered","dob"       ,"id"              ,"faculty","password"
"Gerald Bridges"        ,"False"     ,"8/5/1965"  ,"Gerald42888"     ,"fa3"    ,"RdDGB20"
"Rebecca Moore"         ,"True"      ,"25/10/1982","Rebecca38250"    ,"fa3"    ,"lwXve80"
"Jeffrey Garza"         ,"True"      ,"4/12/1981" ,"Jeffrey8594"     ,"fa3"    ,"SnaGh02"
"Laurie Dunn"           ,"False"     ,"8/4/1967"  ,"Laurie24225"     ,"fa3"    ,"PSJGz67"
"Jake Gardner"          ,"False"     ,"5/4/2000"  ,"Jake15379"       ,"fa4"    ,"GxPgs00"
"Laura Smith"           ,"False"     ,"1/5/1993"  ,"Laura39685"      ,"fa4"    ,"IIagC69"
"Andrew Anderson"       ,"True"      ,"7/10/1972" ,"Andrew4196"      ,"fa4"    ,"sIrtB26"
"Tiffany Robinson"      ,"True"      ,"10/7/1994" ,"Tiffany1895"     ,"fa1"    ,"eikhf98"
"Joe Horne"             ,"True"      ,"28/1/1996" ,"Joe14921"        ,"fa2"    ,"qMBNU35"
"Jessica Guzman"        ,"False"     ,"4/3/1977"  ,"Jessica48586"    ,"fa3"    ,"CeNQk73"
"Bryan Cannon"          ,"True"      ,"7/6/1995"  ,"Bryan32353"      ,"fa1"    ,"sHrsA04"
"Diana Johnston"        ,"False"     ,"6/2/1944"  ,"Diana28580"      ,"fa3"    ,"VOXZf40"
"Franklin Perez"        ,"True"      ,"5/11/1950" ,"Franklin22624"   ,"fa4"    ,"tAlzF57"
"Amanda Hall"           ,"False"     ,"20/6/1988" ,"Amanda11678"     ,"fa2"    ,"ArgVq49"
"Isaiah Sandoval"       ,"False"     ,"11/7/1961" ,"Isaiah38792"     ,"fa4"    ,"xfYhn30"
"Melissa Burke"         ,"True"      ,"29/11/1998","Melissa37294"    ,"fa2"    ,"rJNDX06"
"Phillip Williams"      ,"False"     ,"24/9/1962" ,"Phillip25999"    ,"fa3"    ,"SgCWy07"
"Isabel Johnson"        ,"True"      ,"23/2/1942" ,"Isabel22869"     ,"fa2"    ,"EwmvW97"
"Michael Murillo"       ,"True"      ,"5/1/1997"  ,"Michael15731"    ,"fa3"    ,"ycvjQ45"
"Jillian Maynard"       ,"True"      ,"16/11/1987","Jillian17864"    ,"fa2"    ,"GlxAJ08"
"John Henderson"        ,"False"     ,"25/6/1966" ,"John11986"       ,"fa4"    ,"zKdhC39"
"Michelle Torres"       ,"True"      ,"30/12/1975","Michelle39458"   ,"fa2"    ,"hMyrk55"
"Charles Gray"          ,"False"     ,"28/1/1951" ,"Charles14798"    ,"fa2"    ,"cYBwP55"
"Jessica Casey"         ,"True"      ,"13/2/1951" ,"Jessica25442"    ,"fa2"    ,"tJHNC92"
"David Parker"          ,"False"     ,"8/7/1981"  ,"David1906"       ,"fa2"    ,"UOYjB98"
"Jennifer Fisher"       ,"True"      ,"14/2/1972" ,"Jennifer41513"   ,"fa2"    ,"FQCxT79"
"Keith Bowman"          ,"False"     ,"30/12/1965","Keith14156"      ,"fa4"    ,"ziFhg85"
"Vanessa Spence"        ,"False"     ,"19/12/1941","Vanessa14038"    ,"fa2"    ,"npAqj42"
"Eric King"             ,"True"      ,"3/9/1955"  ,"Eric8391"        ,"fa2"    ,"LKZSq44"
"Nicole Taylor"         ,"True"      ,"23/11/1959","Nicole30953"     ,"fa1"    ,"bYjIe24"
"Jordan Lopez"          ,"True"      ,"21/7/1962" ,"Jordan1055"      ,"fa2"    ,"npmjZ44"
"Amanda Orozco"         ,"False"     ,"15/11/1982","Amanda10306"     ,"fa4"    ,"woZyR80"
"Terry Chapman"         ,"True"      ,"3/7/1963"  ,"Terry36572"      ,"fa4"    ,"EIFqE92"
"Deanna Stephens"       ,"False"     ,"28/12/1947","Deanna42496"     ,"fa2"    ,"iBRox27"
"Riley Watkins"         ,"True"      ,"13/6/1994" ,"Riley31223"      ,"fa1"    ,"KLooT95"
"Christina Cook"        ,"False"     ,"11/9/1974" ,"Christina16121"  ,"fa1"    ,"DbtLB76"
"Billy Crosby"          ,"True"      ,"7/11/1975" ,"Billy18821"      ,"fa2"    ,"OyksR38"
"Angel Johnston"        ,"False"     ,"12/12/1999","Angel21242"      ,"fa3"    ,"fSfET24"
"Nicholas Guzman"       ,"True"      ,"9/7/1985"  ,"Nicholas11780"   ,"fa3"    ,"mOsBS31"
"Ashley Miller"         ,"True"      ,"20/5/1957" ,"Ashley43026"     ,"fa3"    ,"UHUBb15"
"Mark Turner"           ,"False"     ,"11/8/1975" ,"Mark17507"       ,"fa3"    ,"ehwCE61"
"Summer Hamilton"       ,"True"      ,"12/6/1983" ,"Summer3599"      ,"fa1"    ,"zHRWU08"
"Richard Anderson"      ,"False"     ,"18/7/1953" ,"Richard45325"    ,"fa2"    ,"hUFwZ22"
"Melissa Nelson"        ,"True"      ,"3/10/1968" ,"Melissa31883"    ,"fa1"    ,"dbATR98"
"Jack Edwards"          ,"False"     ,"28/1/1980" ,"Jack8747"        ,"fa3"    ,"iRcIS58"
"Erica Wong"            ,"True"      ,"22/5/1968" ,"Erica48128"      ,"fa1"    ,"dIpdn13"
"Anthony Howard"        ,"True"      ,"2/5/1978"  ,"Anthony21893"    ,"fa4"    ,"UtjMS71"
"Katie Williams"        ,"True"      ,"14/5/1978" ,"Katie11514"      ,"fa2"    ,"AhLQE42"
"Cody Sullivan"         ,"False"     ,"15/5/1999" ,"Cody10269"       ,"fa4"    ,"wXGKQ14"
"Toni Wolfe"            ,"False"     ,"2/1/1952"  ,"Toni46091"       ,"fa3"    ,"UiUXw23"
"Collin Gonzalez"       ,"False"     ,"27/9/1998" ,"Collin38286"     ,"fa4"    ,"jemOb46"
"Cassandra Brown"       ,"False"     ,"4/10/1955" ,"Cassandra5627"   ,"fa4"    ,"MUnUV18"
"Kenneth Green"         ,"True"      ,"11/11/1999","Kenneth10976"    ,"fa1"    ,"cVFlU25"
"Kara Waters"           ,"False"     ,"22/6/1958" ,"Kara14912"       ,"fa4"    ,"mACyi71"
"Kenneth Meyer"         ,"True"      ,"27/11/1955","Kenneth16986"    ,"fa3"    ,"gtiru57"
"Sonya Rivers"          ,"False"     ,"17/3/1973" ,"Sonya49740"      ,"fa2"    ,"VXzQr99"
"Ryan Brown"            ,"False"     ,"5/4/1995"  ,"Ryan7762"        ,"fa1"    ,"kwHaK43"
"Cheryl Cunningham"     ,"True"      ,"8/11/1944" ,"Cheryl33154"     ,"fa1"    ,"WGRaj47"
"Dustin Jensen"         ,"False"     ,"20/5/1988" ,"Dustin41527"     ,"fa3"    ,"rIDYZ23"
"Sharon Page"           ,"True"      ,"2/3/1994"  ,"Sharon49269"     ,"fa1"    ,"wevfM98"
"Brian Kelly"           ,"False"     ,"1/12/1969" ,"Brian16813"      ,"fa3"    ,"aLmLm50"
"Stephanie Moreno"      ,"False"     ,"19/2/1953" ,"Stephanie21465"  ,"fa1"    ,"cKauY11"
"John Davis"            ,"False"     ,"30/4/1994" ,"John45182"       ,"fa2"    ,"QWrMm45"
"Katelyn Palmer"        ,"False"     ,"23/7/1940" ,"Katelyn48950"    ,"fa3"    ,"ZawYd84"
"Steven Chavez"         ,"True"      ,"19/7/1963" ,"Steven37288"     ,"fa3"    ,"MJILg08"
"Jennifer Torres"       ,"False"     ,"12/7/1995" ,"Jennifer34256"   ,"fa4"    ,"prEuh73"
"Mario Wright"          ,"False"     ,"11/10/1942","Mario6351"       ,"fa3"    ,"uiFRs63"
"Michelle Knight"       ,"True"      ,"11/5/1946" ,"Michelle1115"    ,"fa1"    ,"xkZbj12"
"James Murphy"          ,"True"      ,"21/10/1963","James34344"      ,"fa4"    ,"ReVVu16"
"Anna Alexander"        ,"True"      ,"12/10/1953","Anna8653"        ,"fa2"    ,"DmJHS05"
"Tyler Parker"          ,"False"     ,"8/12/1962" ,"Tyler15751"      ,"fa2"    ,"LhBAD33"
"Jessica Gonzalez"      ,"True"      ,"22/9/1973" ,"Jessica49521"    ,"fa4"    ,"TRvys46"
"Jeffrey Baldwin"       ,"False"     ,"3/9/1958"  ,"Jeffrey10523"    ,"fa1"    ,"XaCTH59"
"Elizabeth Smith"       ,"True"      ,"18/9/1967" ,"Elizabeth37567"  ,"fa4"    ,"FFQMF75"
"Stephen Jordan"        ,"True"      ,"30/6/1997" ,"Stephen18849"    ,"fa3"    ,"pUUEP52"
"Jessica Miranda"       ,"True"      ,"29/6/1985" ,"Jessica3165"     ,"fa1"    ,"sdOOT73"
"Robert Lowe"           ,"True"      ,"4/9/1960"  ,"Robert5733"      ,"fa3"    ,"TmAvO84"
"Heidi Davenport"       ,"True"      ,"5/7/2000"  ,"Heidi10009"      ,"fa1"    ,"IUjkR48"
"Jonathan Watson"       ,"False"     ,"12/10/1960","Jonathan19263"   ,"fa4"    ,"zvUre28"
"Carol Clarke"          ,"True"      ,"25/10/1967","Carol35147"      ,"fa4"    ,"XuKEG56"
"Justin Campbell"       ,"True"      ,"11/12/1971","Justin44503"     ,"fa1"    ,"vWhBx97"
"Mary Harrington"       ,"False"     ,"29/7/1981" ,"Mary3748"        ,"fa4"    ,"rVJMs04"
"Brandon Miller"        ,"True"      ,"24/3/1977" ,"Brandon26240"    ,"fa1"    ,"pQCYL38"
"Yolanda Bailey"        ,"False"     ,"24/2/1969" ,"Yolanda1318"     ,"fa1"    ,"QnuwF58"
"Robert Young"          ,"False"     ,"13/3/1943" ,"Robert21565"     ,"fa4"    ,"gBdaZ10"
"Andrea Singh"          ,"False"     ,"29/11/1954","Andrea31725"     ,"fa2"    ,"TZeVG30"
"Michael Young"         ,"False"     ,"5/3/1959"  ,"Michael7100"     ,"fa1"    ,"awTkr91"
"Megan Clark"           ,"False"     ,"5/9/1960"  ,"Megan25047"      ,"fa2"    ,"vMklp89"
"Shane Le"              ,"False"     ,"9/6/1985"  ,"Shane1935"       ,"fa3"    ,"qjJjo40"
"Kelly Swanson"         ,"True"      ,"13/11/1990","Kelly12186"      ,"fa4"    ,"otHbZ37"
"Fernando Alexander"    ,"True"      ,"9/5/1966"  ,"Fernando23419"   ,"fa4"    ,"zEdxc71"
"Cheryl Barnett"        ,"True"      ,"12/5/1948" ,"Cheryl28746"     ,"fa2"    ,"DymeR47"
"Brett Copeland"        ,"False"     ,"12/8/1956" ,"Brett12115"      ,"fa3"    ,"dknZj69"
"Theresa Young"         ,"False"     ,"13/3/1994" ,"Theresa35048"    ,"fa2"    ,"RkAFU92"
"Greg Norton"           ,"False"     ,"24/2/1953" ,"Greg47994"       ,"fa3"    ,"OSLIa31"
"Jennifer Shaw"         ,"False"     ,"30/5/1967" ,"Jennifer4652"    ,"fa4"    ,"BQPqT72"
"Duane Hogan"           ,"True"      ,"22/8/1980" ,"Duane25502"      ,"fa4"    ,"RYQdR80"
"Sarah Hodge"           ,"False"     ,"18/2/1977" ,"Sarah26256"      ,"fa3"    ,"vDGVY82"
"Daniel Ramirez"        ,"True"      ,"6/7/1974"  ,"Daniel67"        ,"fa3"    ,"YSsly21"
"Melissa Brown"         ,"True"      ,"7/3/1999"  ,"Melissa8022"     ,"fa3"    ,"DVnGN03"
"Nicholas Landry"       ,"True"      ,"1/6/1998"  ,"Nicholas812"     ,"fa4"    ,"gzWjO44"
"Melissa Roman"         ,"True"      ,"12/7/1949" ,"Melissa34385"    ,"fa4"    ,"oEEBn69"
"Lee Smith"             ,"False"     ,"8/7/1985"  ,"Lee32466"        ,"fa3"    ,"LXTry11"
"Jenny Wilson"          ,"False"     ,"12/3/1972" ,"Jenny14866"      ,"fa1"    ,"WQYoM79"
"Jorge Reyes"           ,"True"      ,"12/7/1966" ,"Jorge39429"      ,"fa1"    ,"RcnON22"
"Deanna Pittman"        ,"True"      ,"10/9/1947" ,"Deanna36878"     ,"fa2"    ,"pTQQg31"
"Richard Scott"         ,"True"      ,"12/8/1981" ,"Richard39836"    ,"fa2"    ,"fkdjA31"
"Katherine Andrews"     ,"False"     ,"10/5/1986" ,"Katherine43819"  ,"fa1"    ,"tCJRO14"
"Tyler Brown"           ,"False"     ,"22/3/1953" ,"Tyler49270"      ,"fa3"    ,"uDYkw68"
"Rebecca Miller"        ,"True"      ,"12/4/1947" ,"Rebecca309"      ,"fa1"    ,"EEnyt27"
"Aaron Moore"           ,"False"     ,"15/1/1974" ,"Aaron34416"      ,"fa4"    ,"npObs85"
"Madison Gomez"         ,"True"      ,"8/11/2000" ,"Madison17263"    ,"fa2"    ,"GdgKW26"
"Christopher Torres"    ,"False"     ,"23/7/1986" ,"Christopher13189","fa1"    ,"thGqM93"
"Tiffany Mann"          ,"True"      ,"24/8/1969" ,"Tiffany14682"    ,"fa2"    ,"QecMV59"
"William Conway"        ,"False"     ,"30/2/1973" ,"William5776"     ,"fa1"    ,"EgfuM26"
"Robin Nash"            ,"True"      ,"8/11/1987" ,"Robin12504"      ,"fa4"    ,"luQHl16"
"Jesus Martin"          ,"False"     ,"7/1/1998"  ,"Jesus19897"      ,"fa1"    ,"jCUiY89"
"Denise Weber"          ,"True"      ,"11/8/1982" ,"Denise45966"     ,"fa1"    ,"VKXnJ53"
"Christian Mason"       ,"False"     ,"10/2/1980" ,"Christian3832"   ,"fa2"    ,"fuSQW45"
"Diana Lynch"           ,"True"      ,"25/4/1946" ,"Diana5686"       ,"fa3"    ,"MpCpu34"
"Randy Gonzalez"        ,"True"      ,"23/11/1970","Randy18600"      ,"fa1"    ,"uLBZx97"
"Jennifer Johnson"      ,"False"     ,"29/5/1952" ,"Jennifer23209"   ,"fa1"    ,"RUKZJ30"
"Matthew Hawkins"       ,"False"     ,"15/12/1977","Matthew4640"     ,"fa3"    ,"xvcUu16"
"Brenda Nelson"         ,"False"     ,"2/10/1960" ,"Brenda33657"     ,"fa2"    ,"Ryfjd32"
"Jay Buck"              ,"True"      ,"17/12/1986","Jay7384"         ,"fa3"    ,"vObqn44"
"Tiffany Cox"           ,"True"      ,"14/3/1960" ,"Tiffany8225"     ,"fa2"    ,"PBlcc23"
"Donald Moreno"         ,"True"      ,"7/9/1988"  ,"Donald17207"     ,"fa2"    ,"CdbBH18"
"Karen Stewart"         ,"True"      ,"23/8/1991" ,"Karen36663"      ,"fa4"    ,"OCoEJ48"
"Andrew Fisher"         ,"True"      ,"4/6/1941"  ,"Andrew8773"      ,"fa2"    ,"MpiMX53"
"Gabrielle Miller"      ,"False"     ,"18/3/1949" ,"Gabrielle39636"  ,"fa1"    ,"nuOaA62"
"Juan York"             ,"True"      ,"15/2/1984" ,"Juan41945"       ,"fa2"    ,"SKoAd23"
"Brenda Holden"         ,"True"      ,"30/2/1956" ,"Brenda12710"     ,"fa2"    ,"IvUZr27"
"John Rose"             ,"False"     ,"6/4/1948"  ,"John48286"       ,"fa2"    ,"Vbesw05"
"Alicia Wilkinson"      ,"True"      ,"4/8/1945"  ,"Alicia48106"     ,"fa1"    ,"yxBXK44"
"Ronald Reilly"         ,"True"      ,"6/7/1950"  ,"Ronald6558"      ,"fa2"    ,"quSXD47"
"Anna Blake"            ,"False"     ,"1/6/1976"  ,"Anna2108"        ,"fa2"    ,"YJFTp76"
"Jacob Davis"           ,"True"      ,"2/11/1966" ,"Jacob43093"      ,"fa3"    ,"rNMue25"
"Michelle Bautista"     ,"False"     ,"29/12/1999","Michelle10620"   ,"fa3"    ,"tdvoS10"
"John Hendrix"          ,"True"      ,"20/11/1949","John42478"       ,"fa4"    ,"dJrqt16"
"Ann Mueller"           ,"False"     ,"26/5/1942" ,"Ann13257"        ,"fa1"    ,"ptFkS11"
"Dylan Johnson"         ,"True"      ,"18/1/1988" ,"Dylan4052"       ,"fa2"    ,"MUKlV22"
"Joanna Houston"        ,"False"     ,"4/4/1986"  ,"Joanna37884"     ,"fa1"    ,"VCDIy36"
"Kevin Nolan"           ,"False"     ,"27/11/1961","Kevin4330"       ,"fa3"    ,"McPXE18"
"Linda Watkins"         ,"False"     ,"7/11/1968" ,"Linda40575"      ,"fa2"    ,"NgyFi97"
"Maxwell Shepard"       ,"True"      ,"18/7/1947" ,"Maxwell3249"     ,"fa2"    ,"ATXNX24"
"Brenda Myers"          ,"True"      ,"21/12/1993","Brenda8781"      ,"fa3"    ,"YdPJj28"
"Eric Flynn"            ,"False"     ,"21/6/1974" ,"Eric4514"        ,"fa2"    ,"QuAkq40"
"Danielle Cook"         ,"True"      ,"29/5/1980" ,"Danielle33922"   ,"fa3"    ,"vElVm78"
"Gregory Durham"        ,"False"     ,"26/2/1990" ,"Gregory13581"    ,"fa3"    ,"mdKcN11"
"Tracy White"           ,"True"      ,"4/3/1945"  ,"Tracy13397"      ,"fa3"    ,"VoYCE44"
"Travis Morris"         ,"True"      ,"16/6/1973" ,"Travis38365"     ,"fa1"    ,"mCRLX99"
"Cynthia Stevens"       ,"False"     ,"11/9/1967" ,"Cynthia49970"    ,"fa2"    ,"HmOSb07"
"Gordon Smith"          ,"True"      ,"29/1/1942" ,"Gordon19049"     ,"fa4"    ,"Hcjxr49"
"Sarah Good"            ,"True"      ,"17/12/1978","Sarah42365"      ,"fa1"    ,"jHXRm21"
"Henry Harris"          ,"False"     ,"10/9/1967" ,"Henry12107"      ,"fa3"    ,"jAFNW61"
"Margaret Mcdaniel"     ,"False"     ,"4/7/1984"  ,"Margaret44118"   ,"fa4"    ,"wNFlv00"
"Phillip Martinez"      ,"False"     ,"13/4/1976" ,"Phillip5871"     ,"fa4"    ,"ALYrt29"
"Amber Jones"           ,"False"     ,"14/8/1959" ,"Amber4545"       ,"fa4"    ,"vrLKs24"
"Gary Williams"         ,"True"      ,"22/9/1966" ,"Gary37800"       ,"fa2"    ,"dRigs92"
"Lauren Hernandez"      ,"True"      ,"26/10/1999","Lauren9045"      ,"fa2"    ,"kkoze24"
"Robert Hart"           ,"False"     ,"5/7/1943"  ,"Robert9271"      ,"fa4"    ,"QdmZn40"
"Megan Johnson"         ,"True"      ,"14/1/1977" ,"Megan38212"      ,"fa2"    ,"jRJrp33"
"Joseph Ortega"         ,"True"      ,"10/7/1999" ,"Joseph14101"     ,"fa3"    ,"waUAb74"
"Denise Vasquez"        ,"False"     ,"2/10/1996" ,"Denise8043"      ,"fa2"    ,"qrngP54"
"Richard Williams"      ,"True"      ,"18/7/1993" ,"Richard40200"    ,"fa2"    ,"gEpsv55"
"Jacqueline Bell"       ,"False"     ,"16/12/1986","Jacqueline32968" ,"fa1"    ,"YeqXi27"
"James Garner"          ,"False"     ,"16/7/1986" ,"James37311"      ,"fa4"    ,"PPJQu62"
"Melissa Smith"         ,"True"      ,"20/12/1999","Melissa12913"    ,"fa3"    ,"tkpCr16"
"Joseph Harris"         ,"True"      ,"11/6/1997" ,"Joseph26028"     ,"fa3"    ,"xKdGH05"
"Alexis Hart"           ,"True"      ,"3/9/1988"  ,"Alexis37343"     ,"fa1"    ,"irkpC71"
"Robert Willis"         ,"True"      ,"19/4/1945" ,"Robert48118"     ,"fa1"    ,"iTGsA43"
"Jennifer Guerra"       ,"False"     ,"18/1/1962" ,"Jennifer41127"   ,"fa1"    ,"onJdb64"
"Timothy Young"         ,"False"     ,"16/7/1959" ,"Timothy5804"     ,"fa4"    ,"TJMjq87"
"Emily Walker"          ,"False"     ,"2/3/1975"  ,"Emily18410"      ,"fa1"    ,"AkrVe70"
"Eddie Blair"           ,"True"      ,"11/8/1999" ,"Eddie23260"      ,"fa1"    ,"Mzhfi31"
"Lynn Stokes"           ,"False"     ,"19/1/1958" ,"Lynn15643"       ,"fa3"    ,"SpmVH44"
"Reginald Lewis"        ,"False"     ,"16/4/1996" ,"Reginald7446"    ,"fa3"    ,"bdadx78"
"Carrie Peck"           ,"True"      ,"22/7/1940" ,"Carrie6188"      ,"fa3"    ,"IRFIo04"
"Shawn Jones"           ,"False"     ,"6/2/1985"  ,"Shawn43005"      ,"fa1"    ,"lJdNR66"
"Brandy Reed"           ,"True"      ,"25/12/1975","Brandy33681"     ,"fa2"    ,"SqMHe99"
"Jeremy Miller"         ,"True"      ,"15/1/2001" ,"Jeremy4567"      ,"fa3"    ,"kybem48"
"Tammy Wright"          ,"True"      ,"23/5/1946" ,"Tammy8792"       ,"fa2"    ,"QxhmT96"
"Paul Jimenez"          ,"False"     ,"6/7/1993"  ,"Paul45540"       ,"fa2"    ,"oWmCp16"
"Ashley Miller"         ,"False"     ,"14/6/1968" ,"Ashley13886"     ,"fa3"    ,"BXAuy16"
"David Peterson"        ,"False"     ,"15/11/1967","David18805"      ,"fa4"    ,"XqGCn98"
"Courtney Reynolds"     ,"True"      ,"25/12/2000","Courtney1067"    ,"fa1"    ,"LRCBk65"
"Brandon Joyce"         ,"False"     ,"12/6/1948" ,"Brandon29615"    ,"fa1"    ,"jmczq29"
"Allison Miller"        ,"True"      ,"1/2/1992"  ,"Allison29991"    ,"fa4"    ,"fHUhj56"
"Logan Hoffman"         ,"False"     ,"20/8/1944" ,"Logan28100"      ,"fa1"    ,"CkJeo44"
"Rachael Walker"        ,"True"      ,"21/1/1967" ,"Rachael43855"    ,"fa4"    ,"SbZrZ36"
"Nathan Williams"       ,"False"     ,"4/2/1986"  ,"Nathan12189"     ,"fa3"    ,"LRehB95"
"Amber Key"             ,"True"      ,"27/6/1947" ,"Amber37859"      ,"fa4"    ,"faQHC07"
"Joshua Haney"          ,"False"     ,"10/6/1994" ,"Joshua46152"     ,"fa3"    ,"pDyBv61"
"Lauren Harper"         ,"False"     ,"18/5/1963" ,"Lauren21090"     ,"fa1"    ,"zodcK62"
"Vincent Green"         ,"True"      ,"20/5/1952" ,"Vincent12492"    ,"fa3"    ,"nZlOe84"
"Jennifer Archer"       ,"True"      ,"24/7/1997" ,"Jennifer48029"   ,"fa4"    ,"poKde47"
"Kent Williamson"       ,"False"     ,"10/12/2000","Kent13054"       ,"fa2"    ,"kIArW63"
"Elizabeth Shah"        ,"False"     ,"9/4/1960"  ,"Elizabeth4427"   ,"fa3"    ,"TzGGJ35"
"Jack Nielsen"          ,"False"     ,"22/11/1966","Jack38607"       ,"fa1"    ,"mIOnw57"
"Destiny Ford"          ,"True"      ,"7/12/1974" ,"Destiny7633"     ,"fa3"    ,"ofPoP18"
"John Edwards"          ,"False"     ,"14/4/1986" ,"John30196"       ,"fa1"    ,"uHPDY52"
"Rebecca Burke"         ,"False"     ,"24/3/1975" ,"Rebecca26899"    ,"fa2"    ,"SRich48"
